Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,human,animal,body,evolve,specie,brain,evolution,long,live,dog,survive,possible,different,eat,cell
1,light,speed,travel,fast,object,move,sound,year,wave,slow,away,photon,eye,reach,visible
2,earth,planet,moon,sun,orbit,life,gravity,solar,system,star,atmosphere,affect,change,space,surface
3,black,hole,mass,horizon,matter,event,star,universe,singularity,white,escape,inside,big,gravity,radiation
4,water,drink,cold,temperature,hot,air,ice,body,ocean,heat,boil,salt,liquid,freeze,pressure
5,like,people,covid,vaccine,look,know,different,cause,effect,feel,virus,long,work,thing,don
6,happen,body,brain,actually,suddenly,stop,person,exactly,get,die,inside,disappear,hit,space,blood
7,time,possible,space,universe,energy,travel,create,matter,dilation,expand,exist,big,gravity,object,slow
