Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,human,body,animal,like,people,possible,long,brain,covid,different,know,vaccine,time,specie,effect
1,light,speed,travel,fast,time,object,universe,space,move,sound,slow,year,wave,possible,away
2,earth,happen,planet,moon,sun,space,orbit,gravity,life,like,solar,system,star,time,atmosphere
3,black,hole,universe,happen,matter,mass,horizon,event,star,big,energy,possible,create,inside,singularity
4,water,drink,cold,temperature,hot,air,ice,ocean,heat,happen,boil,salt,liquid,freeze,feel
